model,image
CITROEN 3CV y AMI 8,https://tubosilescapes.com.ar/imagenesproductos/cat_1072_1.jpg
CITROEN XSARA - 1.8 I 16V (99/00),https://tubosilescapes.com.ar/imagenesproductos/cat_1073_1.jpg
CITROEN C3 - 1.6 16V (01/13),https://tubosilescapes.com.ar/imagenesproductos/cat_1075_1.jpg
CITROEN C3 - 1.6 16V (13/22),https://tubosilescapes.com.ar/imagenesproductos/cat_1076_1.jpg
CITROEN C3 - 1.5 8V (13/16),https://tubosilescapes.com.ar/imagenesproductos/cat_1077_1.jpg
CITROEN PICASSO - 2.0 16V (01/10),https://tubosilescapes.com.ar/imagenesproductos/cat_1074_1.jpg
CITROEN C3 PICASSO y C3 AIRCROSS (10/21),https://tubosilescapes.com.ar/imagenesproductos/cat_1078_1.jpg
CITROEN C4 - 2.0 16V - Sin Baul (08/15),https://tubosilescapes.com.ar/imagenesproductos/cat_1079_1.jpg
CITROEN C4 - 2.0 16V - Con Baul (07/13),https://tubosilescapes.com.ar/imagenesproductos/cat_1080_1.jpg
CITROEN C4 - 1.6 16V - Sin Baul (08/15),https://tubosilescapes.com.ar/imagenesproductos/cat_1081_1.jpg
