model,image
"FORD FALCON - 170, 187 (62/69)",https://tubosilescapes.com.ar/imagenesproductos/cat_194_1.jpg
FORD FALCON - 188 (70/82),https://tubosilescapes.com.ar/imagenesproductos/cat_195_1.jpg
FORD FALCON - 221 (70/82),https://tubosilescapes.com.ar/imagenesproductos/cat_196_1.jpg
"FORD FALCON - 188, 221 (82/89)",https://tubosilescapes.com.ar/imagenesproductos/cat_197_1.jpg
FORD FALCON RURAL y RANCHERO (82/89),https://tubosilescapes.com.ar/imagenesproductos/cat_198_1.jpg
FORD FALCON - MAX ECONO (90/92),https://tubosilescapes.com.ar/imagenesproductos/cat_199_1.jpg
FORD ESCORT - 1.6 (86/90),https://tubosilescapes.com.ar/imagenesproductos/cat_200_1.jpg
"FORD ESCORT - AUDI 1.6, 1.8, XR3 (91/92)",https://tubosilescapes.com.ar/imagenesproductos/cat_201_1.jpg
"FORD ESCORT - AUDI 1.6, 1.8, XR3 (93/94)",https://tubosilescapes.com.ar/imagenesproductos/cat_202_1.jpg
"FORD ORION - 1.6, 1.8I, 2.0I (94/96)",https://tubosilescapes.com.ar/imagenesproductos/cat_207_1.jpg
FORD ESCORT - 2.0 I XR3 (95/96),https://tubosilescapes.com.ar/imagenesproductos/cat_203_1.jpg
FORD ESCORT - ZETEC 1.8 16V - Sin Baul (97/03),https://tubosilescapes.com.ar/imagenesproductos/cat_204_1.jpg
FORD ESCORT - 1.8 DIESEL - Sin Baul (97/03),https://tubosilescapes.com.ar/imagenesproductos/cat_206_1.jpg
FORD ESCORT RURAL - 1.8 16V ZETEC (97/01),https://tubosilescapes.com.ar/imagenesproductos/cat_205_1.jpg
FORD F100 - 8 CILINDROS (66/72),https://tubosilescapes.com.ar/imagenesproductos/cat_208_1.jpg
FORD F100 - 8 CILINDROS FASE II (72/81),https://tubosilescapes.com.ar/imagenesproductos/cat_210_1.jpg
FORD F100 - 6 CILINDROS (69/81),https://tubosilescapes.com.ar/imagenesproductos/cat_211_1.jpg
FORD F100 - REFORMA GAS (69/89),https://tubosilescapes.com.ar/imagenesproductos/cat_215_1.jpg
FORD F100 - 6 CILINDROS (82/84),https://tubosilescapes.com.ar/imagenesproductos/cat_213_1.jpg
FORD F100 - 6 CILINDROS (86/89),https://tubosilescapes.com.ar/imagenesproductos/cat_214_1.jpg
FORD F100 - 6 CILINDROS MAX ECONO (90/92),https://tubosilescapes.com.ar/imagenesproductos/cat_216_1.jpg
FORD F100 - 6 CILINDROS MAX ECONO (93/94),https://tubosilescapes.com.ar/imagenesproductos/cat_217_1.jpg
FORD F100 - 6 CILINDROS MAX ECONO (95/96),https://tubosilescapes.com.ar/imagenesproductos/cat_218_1.jpg
FORD F100 - REFORMA GAS (90/96),https://tubosilescapes.com.ar/imagenesproductos/cat_219_1.jpg
FORD F100 - 4.9 I (96/99),https://tubosilescapes.com.ar/imagenesproductos/cat_220_1.jpg
FORD F100 - PERKINS 6 (64/68),https://tubosilescapes.com.ar/imagenesproductos/cat_221_1.jpg
FORD F100 - PERKINS 4/203 (69/81),https://tubosilescapes.com.ar/imagenesproductos/cat_222_1.jpg
FORD F100 - PERKINS 4 POTENCIADO (69/81),https://tubosilescapes.com.ar/imagenesproductos/cat_223_1.jpg
FORD F100 - PERKINS 6/305 (73/83),https://tubosilescapes.com.ar/imagenesproductos/cat_224_1.jpg
FORD F100 - PERKINS 4/203 (82/90),https://tubosilescapes.com.ar/imagenesproductos/cat_225_1.jpg
FORD F100 - PERKINS 4 POTENCIADO (82/90),https://tubosilescapes.com.ar/imagenesproductos/cat_226_1.jpg
FORD F100 - DEUTZ,https://tubosilescapes.com.ar/imagenesproductos/cat_227_1.jpg
FORD F100 - DIESEL MWM 4 CILINDROS (93/95),https://tubosilescapes.com.ar/imagenesproductos/cat_228_1.jpg
FORD F100 - MWM TURBO (96/99),https://tubosilescapes.com.ar/imagenesproductos/cat_229_1.jpg
FORD F100 HSD - 2.5 TD MAXION (96/99),https://tubosilescapes.com.ar/imagenesproductos/cat_230_1.jpg
FORD F100 SUPER DUTTY - 3.9 TD CUMMINS (00/06),https://tubosilescapes.com.ar/imagenesproductos/cat_231_1.jpg
FORD F100 - CUMMINS 3.9 TD (06/12),https://tubosilescapes.com.ar/imagenesproductos/cat_932_1.jpg
FORD TAUNUS - GLX (77/79),https://tubosilescapes.com.ar/imagenesproductos/cat_232_1.jpg
FORD TAUNUS - GLX (79/82),https://tubosilescapes.com.ar/imagenesproductos/cat_233_1.jpg
FORD GALAXY - 2.0 (92/95),https://tubosilescapes.com.ar/imagenesproductos/cat_234_1.jpg
FORD GALAXY - 2.0I (93/95),https://tubosilescapes.com.ar/imagenesproductos/cat_235_1.jpg
FORD FIESTA - 1.3I (95/96),https://tubosilescapes.com.ar/imagenesproductos/cat_236_1.jpg
FORD FIESTA - 1.8 DIESEL (95/96),https://tubosilescapes.com.ar/imagenesproductos/cat_237_1.jpg
"FORD FIESTA - 1.3I, 1.4I (97/99)",https://tubosilescapes.com.ar/imagenesproductos/cat_239_1.jpg
FORD FIESTA - 1.8 DIESEL (97/02),https://tubosilescapes.com.ar/imagenesproductos/cat_238_1.jpg
FORD FIESTA - 1.0I (98),https://tubosilescapes.com.ar/imagenesproductos/cat_240_1.jpg
FORD FIESTA - 1.4 TD (02/10),https://tubosilescapes.com.ar/imagenesproductos/cat_241_1.jpg
FORD FIESTA - 1.6I (02/07),https://tubosilescapes.com.ar/imagenesproductos/cat_242_1.jpg
FORD FIESTA MAX - 1.6I (05/10),https://tubosilescapes.com.ar/imagenesproductos/cat_243_1.jpg
FORD FIESTA ONE - 1.6 Sin Baul (10/14),https://tubosilescapes.com.ar/imagenesproductos/cat_802_1.jpg
FORD FIESTA ONE - 1.6 Con Baul (10/14),https://tubosilescapes.com.ar/imagenesproductos/cat_803_1.jpg
FORD FIESTA KINETIC - 1.6 16V - Sin Baul (10/13),https://tubosilescapes.com.ar/imagenesproductos/cat_749_1.jpg
FORD FIESTA KINETIC - 1.6 16V - Sin Baul  (13/20),https://tubosilescapes.com.ar/imagenesproductos/cat_776_1.jpg
FORD ECOSPORT - 1.6 I (03/07),https://tubosilescapes.com.ar/imagenesproductos/cat_244_1.jpg
FORD ECOSPORT - 1.6 (08/12),https://tubosilescapes.com.ar/imagenesproductos/cat_748_1.jpg
FORD ECOSPORT - 2.0 (03/12),https://tubosilescapes.com.ar/imagenesproductos/cat_245_1.jpg
FORD ECOSPORT KINETIC - 1.6 (12/17),https://tubosilescapes.com.ar/imagenesproductos/cat_777_1.jpg
FORD ECOSPORT KINETIC - 2.0 (13/17),https://tubosilescapes.com.ar/imagenesproductos/cat_871_1.jpg
FORD ECOSPORT - 1.5 (17/22),https://tubosilescapes.com.ar/imagenesproductos/cat_1039_1.jpg
