vehiclemodel_brand,vehiclemodel_name,vehiclemodel_version,vehiclemodel_production,vehiclemodel_details,image_url,raw_model
CHEVROLET,400,,1962-1965,,https://tubosilescapes.com.ar/imagenesproductos/cat_27_1.jpg,CHEVROLET 400 (62/65)
CHEVROLET,400 SUPER,,1966-1974,,https://tubosilescapes.com.ar/imagenesproductos/cat_28_1.jpg,CHEVROLET 400 SUPER (66/74)
CHEVROLET,MONZA,1.8 | 2.0,1991-1996,,https://tubosilescapes.com.ar/imagenesproductos/cat_32_1.jpg,"CHEVROLET MONZA - 1.8, 2.0 (91/96)"
CHEVROLET,CHEVETTE,,1992-1993,,https://tubosilescapes.com.ar/imagenesproductos/cat_686_1.jpg,CHEVETTE y GMC 500 (92/93)
CHEVROLET,GMC 500,,1992-1993,,https://tubosilescapes.com.ar/imagenesproductos/cat_686_1.jpg,CHEVETTE y GMC 500 (92/93)
CHEVROLET,CORSA,1.6 I,1995-2008,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_35_1.jpg,CHEVROLET CORSA - 1.6 I - Sin Baul (95/08)
CHEVROLET,CORSA,1.6 I,1995-2009,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_79_1.jpg,CHEVROLET CORSA - 1.6 I - Con Baul (95/09)
CHEVROLET,CORSA,DIESEL,1996-2004,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_37_1.jpg,CHEVROLET CORSA - DIESEL - Sin Baul (96/04)
CHEVROLET,CORSA,DIESEL,1996-2006,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_80_1.jpg,CHEVROLET CORSA - DIESEL - Con Baul (96/06)
CHEVROLET,CORSA,1.4I,2009-2011,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_788_1.jpg,CHEVROLET CORSA - 1.4I - Sin Baul (09/11)
CHEVROLET,CORSA,1.4I,2009-2016,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_789_1.jpg,CHEVROLET CORSA - 1.4I - Con Baul (09/16)
CHEVROLET,PICK UP CORSA,1.6 I,1996-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_39_1.jpg,CHEVROLET PICK UP CORSA - 1.6 I (96/99)
CHEVROLET,CORSA COMBO,1.7 DSL,1998-2003,,https://tubosilescapes.com.ar/imagenesproductos/cat_40_1.jpg,CHEVROLET CORSA COMBO y PICK UP - 1.7 DSL (98/03)
CHEVROLET,PICK UP,1.7 DSL,1998-2003,,https://tubosilescapes.com.ar/imagenesproductos/cat_40_1.jpg,CHEVROLET CORSA COMBO y PICK UP - 1.7 DSL (98/03)
CHEVROLET,CORSA,1.8 I,2002-2011,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_85_1.jpg,CHEVROLET CORSA - 1.8 I - Con Baul (02/11)
CHEVROLET,CORSA,1.8 I,2002-2011,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_83_1.jpg,CHEVROLET CORSA - 1.8 I - Sin Baul (02/11)
CHEVROLET,PICK UP,,1966-1972,,https://tubosilescapes.com.ar/imagenesproductos/cat_43_1.jpg,CHEVROLET PICK UP (66/72)
CHEVROLET,PICK UP,,1973-1978,,https://tubosilescapes.com.ar/imagenesproductos/cat_53_1.jpg,CHEVROLET PICK UP (73/78)
CHEVROLET,PICK UP,REFORMA GAS,1973-1978,,https://tubosilescapes.com.ar/imagenesproductos/cat_45_1.jpg,CHEVROLET PICK UP - REFORMA GAS (73/78)
CHEVROLET,PICK UP,C 20,1990-1993,,https://tubosilescapes.com.ar/imagenesproductos/cat_47_1.jpg,CHEVROLET PICK UP - C 20 (90/93)
CHEVROLET,PICK UP,D 20,1990-1993,,https://tubosilescapes.com.ar/imagenesproductos/cat_54_1.jpg,CHEVROLET PICK UP - D 20 (90/93)
CHEVROLET,PICK UP,C 20,1993-1996,,https://tubosilescapes.com.ar/imagenesproductos/cat_90_1.jpg,CHEVROLET PICK UP - C 20 (93/96)
CHEVROLET,PICK UP,D 20,1993-1996,,https://tubosilescapes.com.ar/imagenesproductos/cat_88_1.jpg,CHEVROLET PICK UP - D 20 (93/96)
CHEVROLET,PICK UP,D 20 TURBO,1996-1998,,https://tubosilescapes.com.ar/imagenesproductos/cat_89_1.jpg,CHEVROLET PICK UP - D 20 - TURBO (96/98)
CHEVROLET,SILVERADO,MAXION,1997-2002,,https://tubosilescapes.com.ar/imagenesproductos/cat_52_1.jpg,CHEVROLET SILVERADO - MAXION (97/02)
CHEVROLET,BLAZER,2.2 MPFI,1995-2000,,https://tubosilescapes.com.ar/imagenesproductos/cat_56_1.jpg,CHEVROLET BLAZER - 2.2 MPFI (95/00)
CHEVROLET,BLAZER,2.5 TD,1997-2000,,https://tubosilescapes.com.ar/imagenesproductos/cat_81_1.jpg,CHEVROLET S-10 - MAXION 2.5 TD y Blazer - 2.5 TD (97/00)
CHEVROLET,S-10 MAXION,2.5 TD,1997-2000,,https://tubosilescapes.com.ar/imagenesproductos/cat_81_1.jpg,CHEVROLET S-10 - MAXION 2.5 TD y Blazer - 2.5 TD (97/00)
CHEVROLET,LUV,DIESEL 2.5,1995-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_61_1.jpg,CHEVROLET LUV e ISUZU - DIESEL 2.5 (95/99)
CHEVROLET,ISUZU,DIESEL 2.5,1995-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_61_1.jpg,CHEVROLET LUV e ISUZU - DIESEL 2.5 (95/99)
CHEVROLET,S-10,2.8 TD,2001-2013,CAB. DOBLE,https://tubosilescapes.com.ar/imagenesproductos/cat_60_1.jpg,CHEVROLET S-10 - 2.8 TD Cab. Doble (01/13)
CHEVROLET,S-10,2.8,2013-2017,,https://tubosilescapes.com.ar/imagenesproductos/cat_818_1.jpg,CHEVROLET S-10 - 2.8 (13/17)
CHEVROLET,S-10,2.8 TD,2018-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_1024_1.jpg,CHEVROLET S-10 - 2.8 TD (18->)
CHEVROLET,VECTRA,2.0 GLS,1995-2000,,https://tubosilescapes.com.ar/imagenesproductos/cat_67_1.jpg,CHEVROLET VECTRA - 2.0 GLS (95/00)
CHEVROLET,VECTRA,2.0 CD 16V,1997-2003,,https://tubosilescapes.com.ar/imagenesproductos/cat_68_1.jpg,CHEVROLET VECTRA - 2.0 CD 16V (97/03)
CHEVROLET,VECTRA,2.2 CD 16V,2003-2006,,https://tubosilescapes.com.ar/imagenesproductos/cat_72_1.jpg,CHEVROLET VECTRA - 2.2 CD 16V (03/06)
CHEVROLET,VECTRA,2.0 GT GLS,2007-2011,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_73_1.jpg,CHEVROLET VECTRA - 2.0 GT GLS - Sin Baul (07/11)
CHEVROLET,VECTRA,2.4,2007-2011,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_71_1.jpg,CHEVROLET VECTRA - 2.4 - Con Baul (07/11)
CHEVROLET,ASTRA,GLS | 1.8 | 2.0 8V,1999-2004,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_74_1.jpg,"CHEVROLET ASTRA - GLS - Con Baul - 1.8, 2.0 8V (99/04)"
CHEVROLET,ASTRA,2.0,1999-2006,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_75_1.jpg,CHEVROLET ASTRA - 2.0 - Con Baul (99/06)
CHEVROLET,ASTRA,2.0,2000-2006,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_91_1.jpg,CHEVROLET ASTRA - 2.0 - Sin Baul (00/06)
CHEVROLET,ASTRA II,2.0 8V,2007-2011,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_77_1.jpg,CHEVROLET ASTRA II - 2.0 8V - Con Baul (07/11)
CHEVROLET,ASTRA II,2.0 8V,2007-2011,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_78_1.jpg,CHEVROLET ASTRA II - 2.0 8V - Sin Baul (07/11)
CHEVROLET,ZAFIRA,2.0 16V | 2.0 8V,2001-2011,,https://tubosilescapes.com.ar/imagenesproductos/cat_92_1.jpg,CHEVROLET ZAFIRA - 2.0 16V y 2.0 8V (01/11)
CHEVROLET,MERIVA,1.8 I,2003-2013,,https://tubosilescapes.com.ar/imagenesproductos/cat_93_1.jpg,CHEVROLET MERIVA - 1.8 I (03/13)
CHEVROLET,AVEO,1.6,2008-2014,,https://tubosilescapes.com.ar/imagenesproductos/cat_96_1.jpg,CHEVROLET AVEO - 1.6 (08/14)
CHEVROLET,AGILE,1.4,2009-2017,,https://tubosilescapes.com.ar/imagenesproductos/cat_757_1.jpg,CHEVROLET AGILE - 1.4 (09/17)
CHEVROLET,MONTANA,1.8,2011-2020,,https://tubosilescapes.com.ar/imagenesproductos/cat_792_1.jpg,CHEVROLET MONTANA - 1.8 (11/20)
CHEVROLET,CELTA,1.4,2011-2016,,https://tubosilescapes.com.ar/imagenesproductos/cat_819_1.jpg,CHEVROLET CELTA - 1.4 (11/16)
CHEVROLET,PRISMA,1.4,2013-2021,,https://tubosilescapes.com.ar/imagenesproductos/cat_791_1.jpg,CHEVROLET PRISMA y ONIX - 1.4 (13/21)
CHEVROLET,ONIX,1.4,2013-2021,,https://tubosilescapes.com.ar/imagenesproductos/cat_791_1.jpg,CHEVROLET PRISMA y ONIX - 1.4 (13/21)
CHEVROLET,PRISMA,1.4,2013-2021,,https://tubosilescapes.com.ar/imagenesproductos/cat_1090_1.jpg,CHEVROLET PRISMA Y ONIX - 1.4 (13/21)
CHEVROLET,ONIX,1.4,2013-2021,,https://tubosilescapes.com.ar/imagenesproductos/cat_1090_1.jpg,CHEVROLET PRISMA Y ONIX - 1.4 (13/21)
CHEVROLET,JOY,1.4,2013-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_790_1.jpg,CHEVROLET JOY y JOY PLUS - 1.4 (13 ->)
CHEVROLET,JOY PLUS,1.4,2013-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_790_1.jpg,CHEVROLET JOY y JOY PLUS - 1.4 (13 ->)
CHEVROLET,CRUZE,1.8,2010-2015,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_868_1.jpg,CHEVROLET CRUZE - 1.8 - Sin Baul (10/15)
CHEVROLET,CRUZE,1.8,2010-2015,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_869_1.jpg,CHEVROLET CRUZE - 1.8 - Con Baul (10/15)
CHEVROLET,SPIN,1.8,2012-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_895_1.jpg,CHEVROLET SPIN - 1.8 (12 ->)
CHEVROLET,TRACKER,1.8,2012-2020,,https://tubosilescapes.com.ar/imagenesproductos/cat_930_1.jpg,CHEVROLET TRACKER - 1.8 (12/20)
CHEVROLET,SONIC,1.6 16V,2012-2016,,https://tubosilescapes.com.ar/imagenesproductos/cat_1083_1.jpg,CHEVROLET SONIC - 1.6 16V (12/16)
