vehiclemodel_brand,vehiclemodel_name,vehiclemodel_version,vehiclemodel_production,vehiclemodel_details,image_url,raw_model
CITROEN,3CV,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_1072_1.jpg,CITROEN 3CV y AMI 8
CITROEN,AMI 8,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_1072_1.jpg,CITROEN 3CV y AMI 8
CITROEN,XSARA,1.8I 16V,1999-2000,,https://tubosilescapes.com.ar/imagenesproductos/cat_1073_1.jpg,CITROEN XSARA - 1.8 I 16V (99/00)
CITROEN,C3,1.6 16V,2001-2013,,https://tubosilescapes.com.ar/imagenesproductos/cat_1075_1.jpg,CITROEN C3 - 1.6 16V (01/13)
CITROEN,C3,1.6 16V,2013-2022,,https://tubosilescapes.com.ar/imagenesproductos/cat_1076_1.jpg,CITROEN C3 - 1.6 16V (13/22)
CITROEN,C3,1.5 8V,2013-2016,,https://tubosilescapes.com.ar/imagenesproductos/cat_1077_1.jpg,CITROEN C3 - 1.5 8V (13/16)
CITROEN,PICASSO,2.0 16V,2001-2010,,https://tubosilescapes.com.ar/imagenesproductos/cat_1074_1.jpg,CITROEN PICASSO - 2.0 16V (01/10)
CITROEN,C3 PICASSO,,2010-2021,,https://tubosilescapes.com.ar/imagenesproductos/cat_1078_1.jpg,CITROEN C3 PICASSO y C3 AIRCROSS (10/21)
CITROEN,C3 AIRCROSS,,2010-2021,,https://tubosilescapes.com.ar/imagenesproductos/cat_1078_1.jpg,CITROEN C3 PICASSO y C3 AIRCROSS (10/21)
CITROEN,C4,2.0 16V,2008-2015,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_1079_1.jpg,CITROEN C4 - 2.0 16V - Sin Baul (08/15)
CITROEN,C4,2.0 16V,2007-2013,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_1080_1.jpg,CITROEN C4 - 2.0 16V - Con Baul (07/13)
CITROEN,C4,1.6 16V,2008-2015,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_1081_1.jpg,CITROEN C4 - 1.6 16V - Sin Baul (08/15)
