vehiclemodel_brand,vehiclemodel_name,vehiclemodel_version,vehiclemodel_production,vehiclemodel_details,image_url,raw_model
FIAT,TEMPRA,2.0,1993-1994,,https://tubosilescapes.com.ar/imagenesproductos/cat_144_1.jpg,FIAT TEMPRA - 2.0 (93/94)
FIAT,PALIO,1.6I,1997-2001,,https://tubosilescapes.com.ar/imagenesproductos/cat_145_1.jpg,FIAT PALIO - 1.6 I (97/01)
FIAT,PALIO,1.6 16V,1997-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_146_1.jpg,FIAT PALIO - 1.6 16V (97/99)
FIAT,PALIO,1.7 DIESEL,1997-2001,,https://tubosilescapes.com.ar/imagenesproductos/cat_147_1.jpg,FIAT PALIO - 1.7 DIESEL (97/01)
FIAT,PALIO,1.7 TURBO DIESEL,1997-2008,,https://tubosilescapes.com.ar/imagenesproductos/cat_148_1.jpg,FIAT PALIO - 1.7 TURBO DIESEL (97/08)
FIAT,PALIO WEEKEND,1.6 I,1998-2001,,https://tubosilescapes.com.ar/imagenesproductos/cat_152_1.jpg,FIAT PALIO WEEKEND - 1.6 I (98/01)
FIAT,PALIO WEKEEND,1.7 TURBO DIESEL,1998-2010,,https://tubosilescapes.com.ar/imagenesproductos/cat_153_1.jpg,FIAT PALIO WEKEEND - 1.7 TURBO DIESEL (98/10)
FIAT,PALIO WEKEEND,1.4 FIRE,2009-2015,,https://tubosilescapes.com.ar/imagenesproductos/cat_786_1.jpg,FIAT PALIO WEKEEND - 1.4 FIRE (09/15)
FIAT,PALIO WEEKEND,1.4 FIRE,2016-2018,,https://tubosilescapes.com.ar/imagenesproductos/cat_989_1.jpg,FIAT PALIO WEEKEND - 1.4 FIRE (16/18)
FIAT,PALIO WEEKEND,1.6 E.TORQ,2010-2017,,https://tubosilescapes.com.ar/imagenesproductos/cat_931_1.jpg,FIAT PALIO WEEKEND - 1.6 E.TORQ (10/17)
FIAT,PALIO,1.8,2004-2010,,https://tubosilescapes.com.ar/imagenesproductos/cat_149_1.jpg,FIAT PALIO - 1.8 (04/10)
FIAT,PALIO,1.3 FIRE,2001-2006,,https://tubosilescapes.com.ar/imagenesproductos/cat_150_1.jpg,FIAT PALIO - 1.3 FIRE (01/06)
FIAT,PALIO,1.6 ETORQ,2010-2012,,https://tubosilescapes.com.ar/imagenesproductos/cat_751_1.jpg,FIAT PALIO - 1.6 ETORQ (10/12)
FIAT,PALIO,1.6 ETORQ,2012-2017,,https://tubosilescapes.com.ar/imagenesproductos/cat_882_1.jpg,FIAT PALIO - 1.6 ETORQ (12/17)
FIAT,PALIO,1.4 FIRE,2007-2010,,https://tubosilescapes.com.ar/imagenesproductos/cat_151_1.jpg,FIAT PALIO - 1.4 FIRE (07/10)
FIAT,PALIO,1.4 FIRE,2010-2014,,https://tubosilescapes.com.ar/imagenesproductos/cat_784_1.jpg,FIAT PALIO - 1.4 FIRE (10/14)
FIAT,PALIO,1.4 FIRE,2014-2017,,https://tubosilescapes.com.ar/imagenesproductos/cat_988_1.jpg,FIAT PALIO - 1.4 FIRE (14/17)
FIAT,SIENA,1.6I,1997-2001,,https://tubosilescapes.com.ar/imagenesproductos/cat_154_1.jpg,FIAT SIENA - 1.6 I (97/01)
FIAT,SIENA,1.7 DIESEL,1997-2001,,https://tubosilescapes.com.ar/imagenesproductos/cat_158_1.jpg,FIAT SIENA - 1.7 DIESEL (97/01)
FIAT,SIENA,1.7 TD,1997-2008,,https://tubosilescapes.com.ar/imagenesproductos/cat_156_1.jpg,FIAT SIENA - 1.7 TD (97/08)
FIAT,SIENA,1.4 FIRE,2007-2009,,https://tubosilescapes.com.ar/imagenesproductos/cat_157_1.jpg,FIAT SIENA - 1.4 FIRE (07/09)
FIAT,SIENA,1.4 FIRE,2010-2014,,https://tubosilescapes.com.ar/imagenesproductos/cat_785_1.jpg,FIAT SIENA - 1.4 FIRE (10/14)
FIAT,SIENA,1.4 FIRE,2014-2018,,https://tubosilescapes.com.ar/imagenesproductos/cat_990_1.jpg,FIAT SIENA - 1.4 FIRE (14/18)
FIAT,SIENA,1.6 E.TORQ,2010-2018,,https://tubosilescapes.com.ar/imagenesproductos/cat_963_1.jpg,FIAT SIENA - 1.6 E.TORQ (10/18)
FIAT,STRADA,1.8,2004-2010,,https://tubosilescapes.com.ar/imagenesproductos/cat_159_1.jpg,FIAT STRADA - 1.8 (04/10)
FIAT,STRADA,1.4 FIRE,2009-2015,,https://tubosilescapes.com.ar/imagenesproductos/cat_821_1.jpg,FIAT STRADA - 1.4 FIRE (09/15)
FIAT,STRADA,1.4 FIRE,2015-2020,,https://tubosilescapes.com.ar/imagenesproductos/cat_991_1.jpg,FIAT STRADA - 1.4 FIRE (15/20)
FIAT,STRADA,1.6 16V ETORQ,2011-2020,,https://tubosilescapes.com.ar/imagenesproductos/cat_822_1.jpg,FIAT STRADA - 1.6 16V ETORQ (11/20)
FIAT,STRADA,1.4I | 1.6I | 1.8I,,REFORMA GNC,https://tubosilescapes.com.ar/imagenesproductos/cat_797_1.jpg,FIAT STRADA - 1.4I 1.6I y 1.8I (reforma gas)
FIAT,600,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_160_1.jpg,FIAT 600 y 750
FIAT,750,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_160_1.jpg,FIAT 600 y 750
FIAT,1500,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_162_1.jpg,FIAT 1500
FIAT,1600,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_163_1.jpg,FIAT 1600
FIAT,128,"1100, 1300",1971-1991,,https://tubosilescapes.com.ar/imagenesproductos/cat_164_1.jpg,"FIAT 128 - 1100, 1300 (71/91)"
FIAT,DUNA,1300,1988-1990,,https://tubosilescapes.com.ar/imagenesproductos/cat_165_1.jpg,FIAT DUNA - 1300 (88/90)
FIAT,DUNA,1500 | TIPO 1.4 | 1.6,1988-1997,,https://tubosilescapes.com.ar/imagenesproductos/cat_166_1.jpg,"FIAT DUNA - 1500, TIPO 1.4, 1.6 (88/97)"
FIAT,DUNA,1300 DIESEL,1988-1994,,https://tubosilescapes.com.ar/imagenesproductos/cat_167_1.jpg,FIAT DUNA - 1300 DIESEL (88/94)
FIAT,DUNA,1.7 DIESEL,1992-1997,,https://tubosilescapes.com.ar/imagenesproductos/cat_168_1.jpg,FIAT DUNA - 1.7 DIESEL (92/97)
FIAT,DUNA WEEKEND,TIPO 1.6,1991-1995,,https://tubosilescapes.com.ar/imagenesproductos/cat_169_1.jpg,FIAT DUNA WEEKEND - TIPO 1.6 (91/95)
FIAT,DUNA WEEKEND,1300 DIESEL,1991-1996,,https://tubosilescapes.com.ar/imagenesproductos/cat_170_1.jpg,FIAT DUNA WEEKEND - 1300 DIESEL (91/96)
FIAT,DUNA WEEKEND,1.7 DIESEL,1992-1997,,https://tubosilescapes.com.ar/imagenesproductos/cat_171_1.jpg,FIAT DUNA WEEKEND - 1.7 DIESEL (92/97)
FIAT,UNO,1500 | TIPO 1.6,1988-1998,,https://tubosilescapes.com.ar/imagenesproductos/cat_172_1.jpg,"FIAT UNO - 1500, TIPO 1.6 (88/98)"
FIAT,UNO BRASILERO,1500,,,https://tubosilescapes.com.ar/imagenesproductos/cat_173_1.jpg,FIAT UNO BRASILERO - 1500
FIAT,UNO 70S | SX,,1992-1994,,https://tubosilescapes.com.ar/imagenesproductos/cat_174_1.jpg,"FIAT UNO 70S, SX y 1300 IE (92/94)"
FIAT,1300 IE,,1992-1994,,https://tubosilescapes.com.ar/imagenesproductos/cat_174_1.jpg,"FIAT UNO 70S, SX y 1300 IE (92/94)"
FIAT,UNO FIORINO,1.7 DIESEL,1998-2007,,https://tubosilescapes.com.ar/imagenesproductos/cat_176_1.jpg,FIAT UNO FIORINO - 1.7 DIESEL (98/07)
FIAT,UNO FIORINO,1.3I FIRE,2004-2015,,https://tubosilescapes.com.ar/imagenesproductos/cat_177_1.jpg,FIAT UNO FIORINO - 1.3 I FIRE (04/15)
FIAT,UNO FIRE,1.3I,2004-2015,,https://tubosilescapes.com.ar/imagenesproductos/cat_175_1.jpg,FIAT UNO FIRE - 1.3 I (04/15)
FIAT,UNO EVO,1.4,2010-2016,,https://tubosilescapes.com.ar/imagenesproductos/cat_870_1.jpg,FIAT UNO EVO - 1.4 (10/16)
FIAT,125,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_178_1.jpg,FIAT 125
FIAT,125 MULTICARGA,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_179_1.jpg,FIAT 125 MULTICARGA
FIAT,TIPO,1.6,1994-1997,,https://tubosilescapes.com.ar/imagenesproductos/cat_180_1.jpg,FIAT TIPO - 1.6 (94/97)
FIAT,147,1100 | 1300,1983-1991,,https://tubosilescapes.com.ar/imagenesproductos/cat_182_1.jpg,"FIAT 147 y SPAZIO - 1100, 1300 (83/91)"
FIAT,SPAZIO,1100 | 1300,1983-1991,,https://tubosilescapes.com.ar/imagenesproductos/cat_182_1.jpg,"FIAT 147 y SPAZIO - 1100, 1300 (83/91)"
FIAT,SPAZIO,1.4 TIPO,1990-1996,,https://tubosilescapes.com.ar/imagenesproductos/cat_184_1.jpg,FIAT SPAZIO - 1.4 TIPO (90/96)
FIAT,SPAZIO,1300 DIESEL,1985-1996,,https://tubosilescapes.com.ar/imagenesproductos/cat_183_1.jpg,FIAT SPAZIO - 1300 DIESEL (85/96)
FIAT,FIORINO,1.4 TIPO,1992-1997,,https://tubosilescapes.com.ar/imagenesproductos/cat_186_1.jpg,FIAT FIORINO - 1.4 TIPO (92/97)
FIAT,FIORINO,1300 DIESEL,1992-1997,,https://tubosilescapes.com.ar/imagenesproductos/cat_187_1.jpg,FIAT FIORINO - 1300 DIESEL (92/97)
FIAT,FIORINO,1.4 FIRE,2014-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_976_1.jpg,FIAT FIORINO - 1.4 FIRE (14->)
FIAT,REGATTA,,1985-1995,,https://tubosilescapes.com.ar/imagenesproductos/cat_189_1.jpg,FIAT REGATTA (85/95)
FIAT,DUCATO,2.5 DIESEL,1997-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_190_1.jpg,FIAT DUCATO - 2.5 DIESEL (97/99) y 2.8 DIESEL (00/04)
FIAT,DUCATO,2.8 DIESEL,2000-2004,,https://tubosilescapes.com.ar/imagenesproductos/cat_190_1.jpg,FIAT DUCATO - 2.5 DIESEL (97/99) y 2.8 DIESEL (00/04)
FIAT,IDEA,1.8,2005-2010,,https://tubosilescapes.com.ar/imagenesproductos/cat_191_1.jpg,FIAT IDEA - 1.8 (05/10)
FIAT,PUNTO,1.4 FIRE,2007-2014,,https://tubosilescapes.com.ar/imagenesproductos/cat_192_1.jpg,FIAT PUNTO - 1.4 FIRE (07/14)
FIAT,PUNTO,1.4 FIRE,2014-2018,,https://tubosilescapes.com.ar/imagenesproductos/cat_987_1.jpg,FIAT PUNTO - 1.4 FIRE (14/18)
FIAT,PUNTO,1.8,2007-2011,,https://tubosilescapes.com.ar/imagenesproductos/cat_193_1.jpg,FIAT PUNTO - 1.8 (07/11)
FIAT,DOBLO,1.4 16V,2013-2020,REFORMA GNC,https://tubosilescapes.com.ar/imagenesproductos/cat_823_1.jpg,FIAT DOBLO - 1.4 16V (13/20) Reforma Gas
FIAT,CRONOS,1.3 MT,2018-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_1046_1.jpg,FIAT CRONOS - 1.3 MT (18 ->)
FIAT,CRONOS,1.3 AT,2018-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_1043_1.jpg,FIAT CRONOS - 1.3 AT (18 ->)
FIAT,MOBI,1.0 8V,2016-2021,,https://tubosilescapes.com.ar/imagenesproductos/cat_1098_1.jpg,FIAT MOBI - 1.0 8V (16/21)
FIAT,MOBI,1.0 3 CILINDROS,2021-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_1100_1.jpg,FIAT MOBI - 1.0 3 CILINDROS (21 ->)
FIAT,QUBO,1.4,2012-2016,,https://tubosilescapes.com.ar/imagenesproductos/cat_1099_1.jpg,FIAT QUBO - 1.4 (12/16)
