vehiclemodel_brand,vehiclemodel_name,vehiclemodel_version,vehiclemodel_production,vehiclemodel_details,image_url,raw_model
PEUGEOT,404,,1966-1980,,https://tubosilescapes.com.ar/imagenesproductos/cat_340_1.jpg,PEUGEOT 404 (66/80)
PEUGEOT,404,DIESEL,1971-1978,,https://tubosilescapes.com.ar/imagenesproductos/cat_341_1.jpg,PEUGEOT 404 - DIESEL (71/78)
PEUGEOT,406 SV,2.0,1997-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_343_1.jpg,PEUGEOT 406 SV - 2.0 (97/99)
PEUGEOT,406 SV,2.0,2000-2001,,https://tubosilescapes.com.ar/imagenesproductos/cat_344_1.jpg,PEUGEOT 406 SV - 2.0 (00/01)
PEUGEOT,504,,1969-1982,,https://tubosilescapes.com.ar/imagenesproductos/cat_345_1.jpg,PEUGEOT 504 (69/82)
PEUGEOT,504,,1983-1990,,https://tubosilescapes.com.ar/imagenesproductos/cat_346_1.jpg,PEUGEOT 504 (83/90)
PEUGEOT,504,,1990-1998,,https://tubosilescapes.com.ar/imagenesproductos/cat_745_1.jpg,PEUGEOT 504 (90/98)
PEUGEOT,504,DIESEL LIGERO,1988-1992,,https://tubosilescapes.com.ar/imagenesproductos/cat_348_1.jpg,PEUGEOT 504 - DIESEL LIGERO (88/92)
PEUGEOT,504,DIESEL LIGERO,1993-1998,,https://tubosilescapes.com.ar/imagenesproductos/cat_349_1.jpg,PEUGEOT 504 - DIESEL LIGERO (93/98)
PEUGEOT,505,,1981-1982,,https://tubosilescapes.com.ar/imagenesproductos/cat_351_1.jpg,PEUGEOT 505 (81/82)
PEUGEOT,505,,1983-1992,,https://tubosilescapes.com.ar/imagenesproductos/cat_350_1.jpg,PEUGEOT 505 (83/92)
PEUGEOT,505,,1993-1994,,https://tubosilescapes.com.ar/imagenesproductos/cat_352_1.jpg,PEUGEOT 505 (93/94)
PEUGEOT,505 RURAL,,1990-1994,,https://tubosilescapes.com.ar/imagenesproductos/cat_353_1.jpg,PEUGEOT 505 RURAL (90/94)
PEUGEOT,PICK UP,T 5,1973-1981,,https://tubosilescapes.com.ar/imagenesproductos/cat_355_1.jpg,PEUGEOT PICK UP - T 5 (73/81)
PEUGEOT,PICK UP,T 5 DIESEL,,,https://tubosilescapes.com.ar/imagenesproductos/cat_356_1.jpg,PEUGEOT PICK UP - T 5 DIESEL
PEUGEOT,PICK UP,504 NAFTA,1981-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_357_1.jpg,PEUGEOT PICK UP - 504 NAFTA (81/99)
