vehiclemodel_brand,vehiclemodel_name,vehiclemodel_version,vehiclemodel_production,vehiclemodel_details,image_url,raw_model
RENAULT,JEEP IKA,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_267_1.jpg,JEEP IKA
RENAULT,ESTANCIERA IKA,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_268_1.jpg,ESTANCIERA IKA
RENAULT,R19 RN,1600,1992-1994,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_269_1.jpg,RENAULT R19 RN - 1600 - Sin Baul (92/94)
RENAULT,R19 RT,1700,1992-1994,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_271_1.jpg,RENAULT R19 RT - 1700 - Con Baul (92/94)
RENAULT,R19 RN,1.6 I,1995-1997,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_272_1.jpg,RENAULT R19 RN - 1.6 I - Sin Baul (95/97)
RENAULT,R19 RN,1.6 I,1995-1997,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_273_1.jpg,RENAULT R19 RN - 1.6 I - Con Baul (95/97)
RENAULT,R19 RT,1.8 I,1995-1997,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_274_1.jpg,RENAULT R19 RT - 1.8 I - Sin Baul (95/97)
RENAULT,R19 RT,1.8 I,1995-1997,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_275_1.jpg,RENAULT R19 RT - 1.8 I - Con Baul (95/97)
RENAULT,R19 RE,1.6,1997-1999,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_270_1.jpg,RENAULT R19 RE - 1.6 - Con Baul (97/99)
RENAULT,R19,DIESEL 1.9,1995-1999,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_276_1.jpg,RENAULT R19 - DIESEL 1.9 - Sin Baul (95/99)
RENAULT,R19,DIESEL 1.9,1995-1999,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_277_1.jpg,RENAULT R19 - DIESEL 1.9 - Con Baul (95/99)
RENAULT,CLIO,1.4 I,1994-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_278_1.jpg,RENAULT CLIO - 1.4 I (94/99)
RENAULT,CLIO,1.6 I,1996-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_279_1.jpg,RENAULT CLIO - 1.6 I (96/99)
RENAULT,CLIO,1.9 DIESEL,1996-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_280_1.jpg,RENAULT CLIO - 1.9 DIESEL (96/99)
RENAULT,CLIO II,1.6 I,2000-2003,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_282_1.jpg,RENAULT CLIO II - 1.6 I - Sin Baul (00/03)
RENAULT,CLIO II,1.6 I,2000-2003,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_281_1.jpg,RENAULT CLIO II - 1.6 I - Con Baul (00/03)
RENAULT,CLIO II,DIESEL 1.9,2000-2003,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_283_1.jpg,RENAULT CLIO II - DIESEL 1.9 - Sin Baul (00/03)
RENAULT,CLIO II,DIESEL 1.9,2000-2003,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_284_1.jpg,RENAULT CLIO II - DIESEL 1.9 - Con Baul (00/03)
RENAULT,CLIO II,1.6 I 16V,2000-2009,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_285_1.jpg,RENAULT CLIO II - 1.6 I 16V - Sin Baul (00/09)
RENAULT,CLIO II,1.6 I 16V,2000-2009,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_286_1.jpg,RENAULT CLIO II - 1.6 I 16V - Con Baul (00/09)
RENAULT,CLIO II,1.2 16V,2003-2012,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_287_1.jpg,RENAULT CLIO II - 1.2 16V - Sin Baul (03/12)
RENAULT,CLIO II,1.2 16V,2003-2009,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_288_1.jpg,RENAULT CLIO II - 1.2 16V - Con Baul (03/09)
RENAULT,CLIO II,1.5 DCI,2003-2009,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_290_1.jpg,RENAULT CLIO II - 1.5 DCI - Sin Baul (03/09)
RENAULT,CLIO II,1.5 DCI,2003-2010,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_291_1.jpg,RENAULT CLIO II - 1.5 DCI - Con Baul (03/10)
RENAULT,CLIO MIO,1.2,2012-2017,,https://tubosilescapes.com.ar/imagenesproductos/cat_827_1.jpg,RENAULT CLIO MIO - 1.2 (12/17)
RENAULT,SYMBOL,1.6 16V,2009-2013,,https://tubosilescapes.com.ar/imagenesproductos/cat_292_1.jpg,RENAULT SYMBOL - 1.6 16V (09/13)
RENAULT,EXPRESS,DIESEL 1.9,1996-2000,,https://tubosilescapes.com.ar/imagenesproductos/cat_293_1.jpg,RENAULT EXPRESS - DIESEL 1.9 (96/00)
RENAULT,MEGANE RT,1.6 I,1997-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_294_1.jpg,RENAULT MEGANE RT - 1.6 I (97/99)
RENAULT,MEGANE RT | RXE,2.0 I,1997-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_296_1.jpg,"RENAULT MEGANE RT, RXE - 2.0 I (97/99)"
RENAULT,MEGANE,1.9 TD,1997-2009,,https://tubosilescapes.com.ar/imagenesproductos/cat_295_1.jpg,RENAULT MEGANE - 1.9 TD (97/09)
RENAULT,MEGANE,1.6 I 16V,2000-2009,,https://tubosilescapes.com.ar/imagenesproductos/cat_297_1.jpg,RENAULT MEGANE - 1.6 I 16V (00/09)
RENAULT,MEGANE II,2.0 16V | 1.9 D | 1.5 DCI,2006-2011,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_298_1.jpg,"RENAULT MEGANE II - 2.0 16V, 1.9 D y 1.5 DCI con baul (06/11)"
RENAULT,MEGANE II,1.6 16V,2006-2011,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_299_1.jpg,RENAULT MEGANE II - 1.6 16V - Con Baul (06/11)
RENAULT,SCENIC,2.0 I,1997-2004,,https://tubosilescapes.com.ar/imagenesproductos/cat_309_1.jpg,RENAULT SCENIC - 2.0 I (97/04)
RENAULT,SCENIC,1.9 TD,2000-2011,,https://tubosilescapes.com.ar/imagenesproductos/cat_1063_1.jpg,RENAULT SCENIC - 1.9 TD (00/11)
RENAULT,SCENIC,1.6 I 16V | 2.0 16V,2000-2011,,https://tubosilescapes.com.ar/imagenesproductos/cat_632_1.jpg,RENAULT SCENIC - 1.6 I 16V y 2.0 16V (00/11)
RENAULT,LAGUNA RXE,2.0,1995-2002,,https://tubosilescapes.com.ar/imagenesproductos/cat_300_1.jpg,RENAULT LAGUNA RXE - 2.0 (95/02)
RENAULT,LAGUNA,1.8 | DIESEL 2.2,1996-1998,,https://tubosilescapes.com.ar/imagenesproductos/cat_301_1.jpg,RENAULT LAGUNA - 1.8 y DIESEL 2.2 (96/98)
RENAULT,TORINO 380W,7 BANCADAS,1976-1982,,https://tubosilescapes.com.ar/imagenesproductos/cat_305_1.jpg,TORINO 380W - 7 BANCADAS (76/82)
RENAULT,TRAFIC,1400,,,https://tubosilescapes.com.ar/imagenesproductos/cat_306_1.jpg,RENAULT TRAFIC - 1400
RENAULT,TRAFIC,2000 | DIESEL,,,https://tubosilescapes.com.ar/imagenesproductos/cat_307_1.jpg,RENAULT TRAFIC - 2000 y DIESEL
RENAULT,TRAFIC,1.9 DIESEL,1999-2003,,https://tubosilescapes.com.ar/imagenesproductos/cat_308_1.jpg,RENAULT TRAFIC - 1.9 DIESEL (99/03)
RENAULT,MASTER,2.8,2003-2007,,https://tubosilescapes.com.ar/imagenesproductos/cat_310_1.jpg,RENAULT MASTER - 2.8 (03/07)
RENAULT,4L,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_311_1.jpg,RENAULT 4L y 4S
RENAULT,4S,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_311_1.jpg,RENAULT 4L y 4S
RENAULT,6,,,2ª SERIE,https://tubosilescapes.com.ar/imagenesproductos/cat_312_1.jpg,RENAULT 6 - 2ª SERIE
RENAULT,21,,1989-1995,,https://tubosilescapes.com.ar/imagenesproductos/cat_313_1.jpg,RENAULT 21 (89/95)
RENAULT,21 NEVADA,,1990-1996,,https://tubosilescapes.com.ar/imagenesproductos/cat_314_1.jpg,RENAULT 21 NEVADA (90/96)
RENAULT,21 ALIZE,,1994-1996,,https://tubosilescapes.com.ar/imagenesproductos/cat_316_1.jpg,RENAULT 21 ALIZE (94/96)
RENAULT,TWINGO,,1994-2001,,https://tubosilescapes.com.ar/imagenesproductos/cat_318_1.jpg,RENAULT TWINGO (94/01)
RENAULT,LOGAN,1.6 8V,2008-2013,,https://tubosilescapes.com.ar/imagenesproductos/cat_320_1.jpg,RENAULT LOGAN - 1.6 8V (08/13)
RENAULT,LOGAN,1.6 16V,2008-2013,,https://tubosilescapes.com.ar/imagenesproductos/cat_896_1.jpg,RENAULT LOGAN - 1.6 16V (08/13)
