vehiclemodel_brand,vehiclemodel_name,vehiclemodel_version,vehiclemodel_production,vehiclemodel_details,image_url,raw_model
VARIOS,RASTROJERO | INDENOR,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_399_1.jpg,RASROJERO - INDENOR
VARIOS,MITSUBISHI PICK UP,L 200,1995-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_406_1.jpg,MITSUBISHI PICK UP - L 200 (95/99)
VARIOS,DAEWO TICO,SL | DX | SX,ORIGEN-2000,,https://tubosilescapes.com.ar/imagenesproductos/cat_414_1.jpg,"DAEWO TICO SL, DX, SX (hasta 00)"
VARIOS,HONDA ACCORD,EX | LX,1992-1996,,https://tubosilescapes.com.ar/imagenesproductos/cat_415_1.jpg,"HONDA ACCORD EX, LX (92/96)"
VARIOS,SUZUKI FUN,1.0 I,2003-2006,,https://tubosilescapes.com.ar/imagenesproductos/cat_417_1.jpg,SUZUKI FUN - 1.0 I (03/06)
VARIOS,SUZUKI FUN,1.4 I,2004-2011,,https://tubosilescapes.com.ar/imagenesproductos/cat_418_1.jpg,SUZUKI FUN - 1.4 I (04/11)
VARIOS,ROVER 416,SI,1994-1999,5 PUERTAS,https://tubosilescapes.com.ar/imagenesproductos/cat_425_1.jpg,ROVER 416 SI - 5 puertas (94/99)
VARIOS,JEEP COMPASS,2.4,2017-2021,,https://tubosilescapes.com.ar/imagenesproductos/cat_977_1.jpg,JEEP COMPASS - 2.4 (17/21)
VARIOS,CATALIZADORES,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_771_1.jpg,CATALIZADORES
VARIOS,PRECAMARA REEMPLAZA CATALIZADOR,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_429_1.jpg,PRECAMARA REEMPLAZA CATALIZADOR
VARIOS,TURBO REEMPLAZA CATALIZADOR,Ø3'' 1/2,,,https://tubosilescapes.com.ar/imagenesproductos/cat_432_1.jpg,TURBO REEMPLAZA CATALIZADOR - Ø3'' 1/2
VARIOS,CAMARA REEMPLAZA CATALIZADOR,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_1071_1.jpg,CAMARA REEMPLAZA CATALIZADOR
VARIOS,FLEXIBLES,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_431_1.jpg,FLEXIBLES
VARIOS,CAÑOS FLEXIBLES,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_1042_1.jpg,CAÑOS FLEXIBLES
VARIOS,SILENCIADORES UNIVERSALES,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_959_1.jpg,SILENCIADORES UNIVERSALES
VARIOS,PIEZAS ESPECIALES,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_435_1.jpg,PIEZAS ESPECIALES
VARIOS,TURBOS CENTRALES UNIVERSALES,Ø3",,,https://tubosilescapes.com.ar/imagenesproductos/cat_436_1.jpg,TURBOS CENTRALES UNIVERSALES - Ø3''
VARIOS,TURBOS CENTRALES UNIVERSALES,Ø3" 1/2,,,https://tubosilescapes.com.ar/imagenesproductos/cat_437_1.jpg,TURBOS CENTRALES UNIVERSALES - Ø3'' 1/2
VARIOS,CUPLAS ADAPTABLES,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_438_1.jpg,CUPLAS ADAPTABLES
VARIOS,CUPLAS DOBLES ADAPTABLES,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_1045_1.jpg,CUPLAS DOBLES ADAPTABLES
VARIOS,CAÑOS RECTOS,,,TRAMOS DE 3 METROS,https://tubosilescapes.com.ar/imagenesproductos/cat_439_1.jpg,CAÑOS RECTOS - TRAMOS DE 3 METROS
VARIOS,ANTIRRIJIDOS,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_440_1.jpg,ANTIRRIJIDOS
