vehiclemodel_brand,vehiclemodel_name,vehiclemodel_version,vehiclemodel_production,vehiclemodel_details,image_url,raw_model
VOLKSWAGEN,VALIANT IV,,,,https://tubosilescapes.com.ar/imagenesproductos/cat_141_1.jpg,VALIANT IV
VOLKSWAGEN,DODGE 1500,,1971-1973,,https://tubosilescapes.com.ar/imagenesproductos/cat_100_1.jpg,DODGE 1500 (71/73)
VOLKSWAGEN,DODGE 1500,,1973-1982,,https://tubosilescapes.com.ar/imagenesproductos/cat_101_1.jpg,DODGE 1500 (73/82)
VOLKSWAGEN,1500,,1983-1992,,https://tubosilescapes.com.ar/imagenesproductos/cat_103_1.jpg,VOLKSWAGEN 1500 (83/92)
VOLKSWAGEN,GOLF,1.8 I,1996-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_104_1.jpg,VOLKSWAGEN GOLF - 1.8 I (96/99)
VOLKSWAGEN,GOLF,2.0 GTI,1996-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_105_1.jpg,VOLKSWAGEN GOLF - 2.0 GTI (96/99)
VOLKSWAGEN,GOLF,GTD,1996-1999,,https://tubosilescapes.com.ar/imagenesproductos/cat_106_1.jpg,VOLKSWAGEN GOLF - GTD (96/99)
VOLKSWAGEN,GOLF IV,1.6 I,1999-2012,,https://tubosilescapes.com.ar/imagenesproductos/cat_107_1.jpg,VOLKSWAGEN GOLF IV - 1.6 I (99/12)
VOLKSWAGEN,BORA,1.8 T,2003-2015,,https://tubosilescapes.com.ar/imagenesproductos/cat_108_1.jpg,VOLKSWAGEN BORA - 1.8 T (03/15)
VOLKSWAGEN,BORA,2.0 y 1.9 TDI,2000-2015,,https://tubosilescapes.com.ar/imagenesproductos/cat_109_1.jpg,VOLKSWAGEN BORA - 2.0 y 1.9 TDI (00/15)
VOLKSWAGEN,POLO,1.6 I,1997-2009,,https://tubosilescapes.com.ar/imagenesproductos/cat_110_1.jpg,VOLKSWAGEN POLO - 1.6 I (97/09)
VOLKSWAGEN,POLO,1.9 DIESEL,1996-2009,,https://tubosilescapes.com.ar/imagenesproductos/cat_111_1.jpg,VOLKSWAGEN POLO - 1.9 DIESEL (96/09)
VOLKSWAGEN,POLO 1.6 MSI,,2017-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_1019_1.jpg,VOLKSWAGEN POLO 1.6 MSI (17->)
VOLKSWAGEN,FOX | CROSS FOX,1.6,2004-2010,,https://tubosilescapes.com.ar/imagenesproductos/cat_1009_1.jpg,VOLKSWAGEN FOX - 1.6 (04/10) y CROSS FOX - 1.6 (04/10)
VOLKSWAGEN,FOX | CROSS FOX,1.6,2010-2019,,https://tubosilescapes.com.ar/imagenesproductos/cat_1010_1.jpg,VOLKSWAGEN FOX - 1.6 (10/19) y CROSS FOX - 1.6 (10/19)
VOLKSWAGEN,SURAN,1.6,2006-2010,,https://tubosilescapes.com.ar/imagenesproductos/cat_112_1.jpg,VOLKSWAGEN SURAN - 1.6 (06/10)
VOLKSWAGEN,SURAN,1.6,2010-2019,,https://tubosilescapes.com.ar/imagenesproductos/cat_1008_1.jpg,VOLKSWAGEN SURAN - 1.6 (10/19)
VOLKSWAGEN,DODGE 1800,1975-1987,,SEDAN | RURAL,https://tubosilescapes.com.ar/imagenesproductos/cat_113_1.jpg,DODGE 1800 SEDAN Y RURAL (75/87) - VOLKSWAGEN 1500 RURAL
VOLKSWAGEN,VOLKSWAGEN 1500,1975-1987,,RURAL,https://tubosilescapes.com.ar/imagenesproductos/cat_113_1.jpg,DODGE 1800 SEDAN Y RURAL (75/87) - VOLKSWAGEN 1500 RURAL
VOLKSWAGEN,TRANSPORTER,1.9 TD,1996-2000,,https://tubosilescapes.com.ar/imagenesproductos/cat_114_1.jpg,VOLKSWAGEN TRANSPORTER - 1.9 TD (96/00)
VOLKSWAGEN,GACEL,GL 1.6,1983-1995,,https://tubosilescapes.com.ar/imagenesproductos/cat_115_1.jpg,VOLKSWAGEN GACEL GL y SENDA - 1.6 (83/95)
VOLKSWAGEN,SENDA,1.6,1983-1995,,https://tubosilescapes.com.ar/imagenesproductos/cat_115_1.jpg,VOLKSWAGEN GACEL GL y SENDA - 1.6 (83/95)
VOLKSWAGEN,GACEL,1.8,1988-1995,,https://tubosilescapes.com.ar/imagenesproductos/cat_116_1.jpg,VOLKSWAGEN GACEL y SENDA - 1.8 (88/95)
VOLKSWAGEN,SENDA,1.8,1988-1995,,https://tubosilescapes.com.ar/imagenesproductos/cat_116_1.jpg,VOLKSWAGEN GACEL y SENDA - 1.8 (88/95)
VOLKSWAGEN,SENDA,DIESEL,1990-1995,,https://tubosilescapes.com.ar/imagenesproductos/cat_117_1.jpg,VOLKSWAGEN SENDA - DIESEL (90/95)
VOLKSWAGEN,SAVEIRO,1.6,1992-1994,,https://tubosilescapes.com.ar/imagenesproductos/cat_118_1.jpg,VOLKSWAGEN SAVEIRO - 1.6 (92/94)
VOLKSWAGEN,SAVEIRO,1.8,1994-1997,,https://tubosilescapes.com.ar/imagenesproductos/cat_119_1.jpg,VOLKSWAGEN SAVEIRO - 1.8 (94/97)
VOLKSWAGEN,SAVEIRO,1.6 DIESEL,1992-1994,,https://tubosilescapes.com.ar/imagenesproductos/cat_120_1.jpg,VOLKSWAGEN SAVEIRO - 1.6 DIESEL (92/94)
VOLKSWAGEN,SAVEIRO,1.6 MI,1997-2005,,https://tubosilescapes.com.ar/imagenesproductos/cat_121_1.jpg,VOLKSWAGEN SAVEIRO - 1.6 MI (97/05)
